property_id,country,city,title,location,size_from,size_to,rooms_from,rooms_to,bathrooms_from,bathrooms_to,parking_lots_from,parking_lots_to,currency,price_in_millions_from,url,img_1
1,Colombia,Medellin,Terrazino Living,"Zúñiga, Envigado",42,151,1,2,1,2,0,0,COP,398,https://www.lahaus.com/ed/envigado/urbanizacion-terrazzino-living-apartamentos,"https://sobreplanos.s3.amazonaws.com/uploads/real_estate_attachment/picture/6524690/terrazzino_living_apartamentos_en_venta_en_loma_de_cumbres_de_1_2_hab_gallery_fb9197719b8ea397d169.jpg?auto=format,compress&q=90&w=1920"
2,Colombia,Medellin,Parma,"El Poblado, Medellín",91,111,2,3,3,,0,0,COP,724,https://www.lahaus.com/nuevo/parma-391345/medellin,https://lahaus.imgix.net/uploads/real_estate_attachment/picture/5785294/parma_apartamento_nuevos_en_venta_en_medellin_cover_aef4f32b102b31ff483a.jpg?auto=compress%2Cenhance%2Cformat&q=40&w=750&h=500&fit=crop&crop=edges
3,Colombia,Medellin,CityM Laureles,"Lorena, Medellín",65,163,2,3,2,4,0,1,COP,460,https://www.lahaus.com/nuevo/city-m-laureles/medellin,"https://sobreplanos.s3.amazonaws.com/uploads/real_estate_attachment/picture/6053775/citym_laureles_apartamentos_en_venta_en_lorena_de_2_3_hab_gallery_26aae265684ed3d6541d.jpg?auto=format,compress&q=90&w=1920"
4,Colombia,Bogota,BO 59,"Chapinero, Bogotá",37,76,1,2,1,2,0,0,COP,350,https://www.lahaus.com/nuevo/bo-59/bogota,"https://sobreplanos.s3.amazonaws.com/uploads/real_estate_attachment/picture/4822970/bo_59_apartamentos_en_venta_en_bosque_calderon_de_1_2_hab_cover_0249e652e38bc02cee3a.jpg?auto=format,compress&q=90&w=1920"
5,Colombia,Bogota,Nueva Colina - Turó,"Colina Campestre, Bogotá",62,98,2,3,2,3,0,0,COP,400,https://www.lahaus.com/nuevo/nueva-colina-turo-414753/bogota,https://lahaus.imgix.net/uploads/real_estate_attachment/picture/6165012/nueva_colina_turo_apartamento_nuevos_en_venta_en_colina_campestre_con_gimnasio_gallery_ddf2a8c3a140a0c7ff22.jpg?auto=compress%2Cenhance%2Cformat&q=25&w=auto&h=auto&fit=crop&crop=edges
6,Colombia,Bogota,Loft 93,"Chicó, Bogotá",71,71,1,0,2,0,1,1,COP,525,https://www.lahaus.com/p/aparta-estudio-chico-439486/bogota,https://lahaus.imgix.net/uploads/real_estate_attachment/picture/6574072/espectacular_apartaestudio_duplex_en_chico_calle_93_con_19_gallery_c209070e449c592ea327.jpeg?auto=compress%2Cformat&w=780&h=500&mark=https%3A%2F%2Flahaus.imgix.net%2Fstatic%2Fdefault%2Fwatermark-symbol-url.png&markalign=center%2C%20middle&markscale=25&markalpha=60&fit=crop&crop=edges
7,Colombia,Cartagena,Varenna,"Serena Del Mar, Cartagena",73,95,2,3,2,0,0,0,COP,356,https://www.lahaus.com/nuevo/varenna-serena-del-mar/cartagena,"https://sobreplanos.s3.amazonaws.com/uploads/real_estate_attachment/picture/4994228/varenna_serena_del_mar_apartamento_nuevos_en_venta_gallery_26b4cf15cb9cab4d4e95.png?auto=format,compress&q=90&w=1920"
8,Colombia,Cartagena,Amalfi,"Bocagrande, Cartagena",47,155,1,3,1,3,0,0,COP,534,https://www.lahaus.com/nuevo/amalfi-383648/cartagena,https://lahaus.imgix.net/uploads/real_estate_attachment/picture/6253776/amalfi_tower_apartamentos_en_venta_en_bocagrande_de_1_3_hab_gallery_4915806c0e1626bb5a99.jpg?auto=compress%2Cenhance%2Cformat&q=25&w=auto&h=auto&fit=crop&crop=edges
9,Colombia,Cartagena,Icon Bay,"Castillo Grande, Cartagena",63,347,1,4,2,6,0,3,COP,542,https://www.lahaus.com/nuevo/icon-bay/cartagena,https://lahaus.imgix.net/uploads/real_estate_attachment/picture/5797359/icon_bay_apartamento_nuevos_en_venta_en_castillo_grande_con_gimnasio_gallery_038a19797746134ad973.png?auto=compress%2Cenhance%2Cformat&q=25&w=auto&h=auto&fit=crop&crop=edges
10,Colombia,Cali,Cerro Alto,"La Campiña, Cali",56,182,1,3,2,4,0,0,COP,357,https://www.lahaus.com/nuevo/cerro-alto/cali,"https://sobreplanos.s3.amazonaws.com/uploads/real_estate_attachment/picture/4876375/cerro_alto_apartamento_nuevos_en_venta_en_chico_norte_gallery_970d8c0902426bb58656.jpg?auto=format,compress&q=90&w=1920"
